-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 05/09/2025 through 06/10/2025 in LST
Location: latitude  28.3688   longitude -81.9624 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 33.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,DOY,T2M_MAX,T2M_MIN
2025,129,33.69,21.91
2025,130,32.4,23.35
2025,131,32.06,22.97
2025,132,29.43,22.6
2025,133,30.15,20.26
2025,134,32.1,20.02
2025,135,35.24,20.95
2025,136,35.71,21.16
2025,137,34.99,21.4
2025,138,35.65,22.19
2025,139,36.44,23.25
2025,140,36.21,25.41
2025,141,35.33,22.56
2025,142,31.49,24.49
2025,143,36.13,22.17
2025,144,36.48,23.84
2025,145,35.98,24.59
2025,146,36.23,24.47
2025,147,36.29,25.63
2025,148,36.21,24.06
2025,149,36.23,25.38
2025,150,34.15,25.01
2025,151,29.43,23.3
2025,152,32.62,20.73
2025,153,32.1,21.69
2025,154,29.35,22.05
2025,155,30.73,22.7
2025,156,32.23,23.57
2025,157,34.05,24.49
2025,158,34.16,23.4
2025,159,34.27,23.73
2025,160,34.94,23.82
2025,161,35.46,24.81
